Stoppages,loc,distance,orig dist
Home,"22.6085692,88.4382332",0,0
Chinarpark,"22.6244838,88.4368247",1.77551863673451,2.5
Ganga river,"22.6549087,88.355342",9.94612078203949,18
Bally,"22.6474308,88.3220165",12.6865593658977,21
Kona more,"22.6228927,88.2924768",15.045637850382,26
Pakuria,"22.6200176,88.2689848",17.419185705221,28
Alampur,"22.5820498,88.2060556",24.017017477819,38
Dhulagarh Toll,"22.5731795,88.1795762",26.8445195350702,40
Ranihati bazar,"22.559528,88.1492785",30.1634684438188,42
Panchla,"22.537984,88.116881",33.9158766554885,47
Uluberia,"22.4693795,88.0704449",40.8203799914705,55
Bagnan,"22.4639807,87.9592767",51.7513327629203,68
Barunda,"22.4581936,87.8940599",58.3374405257645,72
Rupnarayan river,"22.4461999,87.8942577",58.716567667294,
Kolaghat,"22.4264376,87.8791117",60.897766406952,85
Sidhdha,"22.4202597,87.7811351",70.6703067370316,88
Janabar,"22.410785,87.7069763",78.2704402500187,97
Dalpatipur,"22.39207,87.5760763",91.7829560272756,115
Debra Toll,"22.3969038,87.5206625",97.1545675013273,117
Hirbandh,"22.34554,87.4808941",102.620276165066,
Gholagere,"22.3493181,87.3781006",112.674491831164,136
Chakturia,"22.2840797,87.3888302",113.722973221772,145
Rampura toll,"22.2408283,87.3900758",115.235023511681,150
Hadla,"22.1603299,87.3919649",118.558561568151,163
Dantan,"22.0441999,87.3648912",126.991462471972,194
Laxmannath toll,"21.8386704,87.2444738",149.759115813843,202
Subarnarekha river,"21.7100411,87.2548711",157.584536409888,
Jaleswar,"21.8018492,87.2107977",154.963315228976,207
Haldipada,"21.5446273,86.9991865",189.691149264973,245
Nidhipanda,"21.5526731,86.9833805",190.410662589366,249
Januganj,"21.5179555,86.8828652",200.987906226028,259
Balasore,"21.4827512,86.8791792",203.688868298138,260
Seragarh toll,"21.4596503,86.8650462",206.429940787883,271
Begunia,"21.3951523,86.8156751",214.909112841912,282
Jamujhadi,"21.2145941,86.6657206",239.707292412531,306
Charampa,"21.0892584,86.543715",258.395594255411,324
Bhadrak,"21.0729678,86.5204972",261.401437661425,329
Gelpur,"21.0422645,86.4914224",265.920375356225,334
Baitarini river,"20.9151219,86.3245989",288.264455469037,
Jajpur,"20.926987,86.258987",292.575832328811,364
Panikholi Toll,"20.897931,86.2141771",298.217368116912,366
Barabati,"20.8000042,86.1434509",310.870669769003,380
Brahmoni River,"20.781075,86.1479264",311.897116645195,
Chhatia,"20.613846,86.060268",331.087583405235,406
Mahanadi River,"20.4067584,85.8385907",363.669127433742,431
Cuttack,"20.5633853,86.018156",338.112213304816,
Manguli toll,"20.5401328,85.9613885",344.215268025083,419
Puri bypass ,"20.2861915,86.0456583",357.75442340559,451
Uttara,"20.2314302,85.9993534",365.498640775813,462
Gudia Pokhri,"20.1767844,85.8779499",378.63657374898,466
Pipli Toll,"20.1371621,85.8369135",384.781438768196,471
Satasankha,"19.932048,85.7747428",405.862555176162,487
Sakhi gopal,"19.9674564,85.8003209",401.152562055295,494
Puri,"19.7380773,85.8549143",416.658413040376,513
