Stoppages,loc,distance,orig dist
Home,"22.6085692,88.4382332",0,0
Chinarpark,"22.6244838,88.4368247",1.775518637,2.5
Mathkal Bus stop,"22.651884, 88.402380",6.061197668,10.4
Ganga river,"22.6549087,88.355342",9.946120782,18
Bally,"22.6474308,88.3220165",12.68655937,21
Dankuni toll,"22.6491486,88.2824692",,26
Palsit toll,"23.1787313,88.0236596",,86
Banskopa toll,"23.4911413,87.3740453",,168
Beliyad toll,"23.7636291,86.7953698,",,243
Ghangri toll,"24.0301457,85.9460425",,340
Rasoyia Dhamna toll,"24.32343,85.3855147",,408
Saukala toll,"24.5995566,84.7002612",,488
Sasaram toll,"24.9571654,83.9523888",,584
Mohania toll,"25.1882676,83.5589432",,633
Daffi toll,"25.2482991,82.9914674",,693
